bed_count,zip_cod,ccn,medicare_medicaid_eligible
25,50595,161361,True
25,52556,161364,True
25,51601,161366,True
25,51442,161369,True
25,50583,161370,True
25,50036,161372,True
25,51537,161374,True
35,50588,161375,True
29,50022,161376,True
25,52544,161377,True
25,52577,161379,True
50,52806,162001,True
30,50314,162003,True
50,50325,163025,True
40,52241,163026,True
40,52241,163027,True
0,50309,169800,True
0,52242,169802,True
89,66762,170006,True
353,67401,170012,True
49,66067,170014,True
378,66606,170016,True
80,67042,170017,True
199,67502,170020,True
1045,66160,170040,True
300,66061,170049,True
92,66441,170074,True
506,66604,170086,True
55,67114,170103,True
363,66204,170104,True
49,67460,170105,True
39,66071,170109,True
109,67357,170120,True
1268,67214,170122,True
150,66502,170142,True
47,67337,170145,True
351,66215,170176,True
190,66209,170182,True
34,67226,170183,True
75,66213,170185,True
21,66211,170188,True
36,67226,170196,True
68,67235,170200,True
16,66739,170203,True
12,67572,171300,True
24,67526,171301,True
25,67839,171303,True
25,67861,171306,True
25,66725,171308,True
25,66956,171309,True
16,67756,171310,True
20,67663,171311,True
25,67860,171313,True
22,66538,171315,True
25,66032,171316,True
12,66436,171319,True
25,67878,171322,True
25,67578,171323,True
25,67870,171324,True
25,67748,171326,True
18,67439,171327,True
25,67554,171330,True
24,67070,171331,True
25,67054,171332,True
25,67544,171333,True
25,67104,171334,True
25,66547,171337,True
25,66534,171338,True
25,67449,171340,True
25,66434,171341,True
35,66757,171344,True
25,67654,171348,True
25,66901,171349,True
25,66968,171351,True
25,67749,171352,True
25,67661,171353,True
25,67672,171355,True
15,67063,171357,True
21,67456,171358,True
14,67455,171360,True
35,66935,171361,True
25,66508,171363,True
16,67473,171364,True
25,67752,171367,True
16,67854,171369,True
25,67735,171370,True
25,67432,171371,True
25,67871,171372,True
25,66749,171373,True
32,66736,171374,True
35,67420,171375,True
25,66743,171376,True
25,66967,171377,True
25,67068,171378,True
21,66846,171379,True
25,66720,171380,True
25,67410,171381,True
25,66002,171382,True
25,67156,171383,True
56,66212,172004,True
40,66112,172005,True
48,67214,172007,True
72,66606,173025,True
80,66211,173026,True
30,67206,173028,True
34,66211,173300,True
30,67114,174016,True
72,66062,174020,True
0,66106,179801,True
90,41858,180002,True
166,41653,180005,True
120,40741,180011,True
382,42101,180013,True
149,40351,180018,True
111,41056,180019,True
96,40965,180020,True
75,40033,180024,True
140,42071,180027,True
308,41701,180029,True
49,40962,180043,True
58,40361,180046,True
150,40831,180050,True
194,42240,180051,True
92,42276,180066,True
791,40536,180067,True
113,41503,180069,True
75,42754,180070,True
72,41240,180078,True
61,41031,180079,True
75,40391,180092,True
48,42064,180095,True
75,40324,180101,True
49,42167,180105,True
42,42602,180106,True
26,40456,180115,True
93,42066,180116,True
211,42104,180124,True
173,40601,180127,True
90,41230,180128,True
215,42503,180132,True
55,41339,180139,True
217,40509,180143,True
25,42211,181304,True
25,41649,181305,True
25,41472,181307,True
25,40383,181308,True
25,42749,181314,True
25,41749,181316,True
25,42135,181318,True
25,40143,181319,True
25,42347,181323,True
25,42164,181324,True
25,40906,181328,True
25,40403,181329,True
25,42642,181330,True
25,41647,181331,True
367,40204,182001,True
57,40504,182002,True
41,40422,182003,True
33,41075,182004,True
28,42101,182005,True
32,40701,182006,True
37,42003,182008,True
35,42431,182009,True
158,40504,183026,True
51,41017,183027,True
40,42701,183028,True
60,42104,183029,True
40,41042,183030,True
323,40511,184004,True
0,40536,189802,True
456,70503,190002,True
194,70301,190004,True
446,70112,190005,True
116,70506,190006,True
110,70663,190013,True
